id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
940,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,44,Bachelor Degree,274,Excellent,Fair,91,150,I'm really dissatisfied with the quality of services being offered within their budget.
941,Kg. Bolkiah B,Mukim Sungai Kebun,Brunei-Muara,Male,46,O Level,82,Good,Excellent,91,370,I usually don't get on my new work computer often because the registration process costs more than I'd like to spend every single month.
942,Kg. Penapar,Mukim Tanjong Maya,Tutong,Female,12,O Level,16,Good,Good,91,120,I rarely watch streaming videos because it's just too pricey for my monthly budget.
943,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Female,42,Higher National Diploma,31,Good,Very Good,91,470,It's super frustrating when I'm expecting a smooth stream for our videos but there's always buffering just because signal strength keeps dropping around here.
944,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,38,O Level,51,Fair,Fair,91,270,"It's hard to justify spending money when you're trying to get online just to pay bills on time, so I avoid setting it up sometimes."
945,Kg. Panaga,Mukim Seria,Belait,Female,42,O Level,166,Excellent,Very Good,26,290,"To be honest, I struggle to keep up with all the new technologies and trends because I have pretty basic computer skills and it's hard to feel like I'm missing out on important info that I don't understand."
946,Kg. Peninjau,Mukim Sengkurong,Brunei-Muara,Female,58,Bachelor Degree,43,Very Good,Good,91,190,"I drop my phone calls almost all the time because no matter where I am, it's just never reliable enough to get that one meeting call through with an actual voice."
947,STKRJ Mata-Mata Kawasan 2,Mukim Gadong B,Brunei-Muara,Female,54,Primary School,15,Good,Fair,91,200,"It's hard for me to find reliable info when I don't even know how to use some pretty basic software, like video editing or photo editing tools."
948,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,19,Higher National Diploma,52,Fair,Good,91,190,"It's frustrating when I'm trying to stream something late at night, but it keeps buffering and cutting out because our internet here really can't keep up."
949,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,36,Bachelor Degree,536,Good,Good,91,230,I rarely use internet services because one-time fees for setup and activation are just too expensive for me.
950,Perkhemahan Berakas,Mukim Berakas A,Brunei-Muara,Female,52,Higher National Diploma,123,Very Good,Very Good,44,130,I really limit my browsing to just checking email and news because the thought of getting hacked gives me major anxiety every time I go online.
951,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,40,Higher National Diploma,875,Good,Fair,91,320,It's getting harder to stream videos on here without buffering because my data plan just can't handle it anymore.
952,Kg. Serusop,Mukim Berakas A,Brunei-Muara,Female,28,Higher National Diploma,11,Very Good,Good,91,150,It's really frustrating for me to get started with new services because of those super steep one-time fees that add up way more than I can afford in the long run.
953,Kg. Kapok,Mukim Serasa,Brunei-Muara,Male,24,A Level,59,Fair,Good,91,250,"It's super frustrating when I can't even get a decent signal while on calls with work colleagues, so I usually choose to just use my landline instead."
954,Kg. Lambak Kiri,Mukim Berakas A,Brunei-Muara,Female,38,Bachelor Degree,50,Fair,Good,91,310,I rarely find time to catch up on work stuff from home due to how exorbitant internet and phone bills get here.
955,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,48,Bachelor Degree,59,Very Good,Very Good,90,200,It's hard to stay connected when you can't even get a decent signal at home.
956,Kg. Lambak Kiri,Mukim Berakas A,Brunei-Muara,Male,19,Bachelor Degree,18,Good,Very Good,90,500,I have to cut my internet usage way down because my old data plans are just too expensive for my budget.
957,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,36,O Level,98,Very Good,Very Good,90,280,"I can never get enough data to finish binge-watching a new show, so sticking to budget plans feels really restrictive."
958,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Female,28,Bachelor Degree,204,Excellent,Very Good,90,270,Data caps are killing me - I try to load a single video before it freezes out of sheer frustration because I just can't justify upgrading to a better plan right now.
959,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Female,51,Primary School,258,Fair,Very Good,26,60,It's really frustrating when I try to download or stream a movie but just can't get enough bandwidth because my plan is way too slow.
960,Kg. Mumong B,Mukim Kuala Belait,Belait,Female,44,Bachelor Degree,38,Fair,Good,90,290,I just don't see it as worth the hassle of paying an additional fee at home when it's included in our company's Wi-Fi package while I'm working.
961,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,22,Bachelor Degree,208,Very Good,Good,26,180,I usually work from home because it's convenient for me to use public Wi-Fi whenever I need to quickly check something when out and about.
962,Kg. Anggerek Desa,Mukim Berakas A,Brunei-Muara,Female,36,Higher National Diploma,474,Excellent,Very Good,44,220,It's hard for me to commit to internet when the bills seem to add up every month and I need that kind of expense on top of everything else already.
963,Kg. Kupang,Mukim Keriam,Tutong,Male,22,Bachelor Degree,188,Fair,Very Good,90,220,It's hard to justify getting internet when my phone bill is already maxed out every month.
964,Kg. Sungai Kebun,Mukim Sungai Kebun,Brunei-Muara,Female,51,O Level,53,Excellent,Good,90,170,I've tried to sign up for several streaming services but the annual fee is just too much for me on a tight budget.
965,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,29,Bachelor Degree,72,Good,Good,90,240,I have to cut back on internet usage because it's just not affordable with my job and bills adding up like crazy.
966,Kg. Panchung,Mukim Lamunin,Tutong,Male,45,O Level,748,Good,Fair,90,180,It's frustrating for me to try new productivity tools when I've never used anything like them before.
967,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,20,National Diploma,20,Good,Fair,90,260,I just have my phone for emergencies since we don't get reliable coverage at home.
968,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Female,44,O Level,65,Fair,Fair,90,120,I rarely sign up for new services or providers because it's hard to find affordable options that actually meet all my needs.
969,Kg. Pancha Delima,Mukim Berakas A,Brunei-Muara,Male,38,Bachelor Degree,23,Excellent,Poor,90,140,I'm constantly struggling to update our household accounts and get an accurate picture of how much we've spent online because of this super frustrating billing process.
970,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,39,Bachelor Degree,841,Very Good,Good,89,280,I'd really love to use my devices more regularly if they didn't come with such hefty upfront costs.
971,Kg. Kasat,Mukim Lumapas,Brunei-Muara,Male,28,National Diploma,46,Fair,Fair,26,120,I avoid using public wifi at the library because I'm too scared of getting hacked while looking up assignments online.
972,Kg. Lumut Tersusun,Mukim Liang,Belait,Female,54,Bachelor Degree,0,Very Poor,Fair,89,180,"Even though I want to video chat with family who live far away, poor coverage at home ruins the call every time."
973,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,42,O Level,638,Fair,Good,26,120,"The websites they promote just aren't helpful for finding jobs or doing research, so I usually end up searching elsewhere."
974,Kg. Batang Perhentian,Mukim Pangkalan Batu,Brunei-Muara,Female,37,Bachelor Degree,103,Excellent,Very Good,44,60,"It's frustrating when I run out of data so early, but by the time I can afford to upgrade, they've already introduced a new restrictive policy."
975,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,49,O Level,784,Fair,Good,89,240,"I'm fed up with using this service because it never seems to be able to find what I'm looking for, and all the ads just get in the way."
976,Kg. Pangkalan Sibabau,Mukim Mentiri,Brunei-Muara,Male,46,Master Degree,894,Very Good,Very Good,44,70,It's super annoying when I need to watch a video or browse for research and it runs out of high-speed bandwidth way too fast.
977,Perumahan Negara Lambak Kanan Kawasan 5,Mukim Berakas B,Brunei-Muara,Male,50,Lower Secondary,99,Very Good,Very Good,89,770,It's really frustrating when I'm trying to get some serious work done and I end up waiting forever for just one video to load because of my slow internet.
978,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Female,37,National Certificate,46,Good,Good,44,290,I hate streaming videos on my phone when I really want to watch that new show because limited plan just isn't worth the download time for me.
979,Kg. Lugu,Mukim Sengkurong,Brunei-Muara,Female,17,Higher National Diploma,192,Good,Fair,89,240,It's really frustrating when they change some major features every few months and force me to pay for updates again just to keep my account active.
980,Kg. Mungkom,Mukim Kiudang,Tutong,Female,37,Master Degree,55,Good,Fair,89,300,I'd much rather watch video tutorials on how to use websites than try to figure it out myself.
981,Kg. Tagap,Mukim Sengkurong,Brunei-Muara,Female,32,Bachelor Degree,129,Poor,Excellent,5,110,It's frustrating when I try to use my phone abroad and the call is all echoes and silence for hours on end.
982,Kawasan Jabatan-Jabatan Dan Perumahan Kerajaan,Mukim Berakas A,Brunei-Muara,Male,34,A Level,55,Good,Good,89,290,I get frustrated when I try to cancel my internet plan and it's such a hassle navigating all the menus to figure out how to do it correctly.
983,Kg. Peninjau,Mukim Sengkurong,Brunei-Muara,Male,38,O Level,53,Very Good,Good,89,160,It's hard for me to justify paying such a premium for internet when most streaming sites offer free trials or ad-supported options.
984,Kg. Lumapas,Mukim Lumapas,Brunei-Muara,Male,40,O Level,61,Very Poor,Very Good,89,160,"I live with family members who don't use their phone data at home, so we split the bill."
985,Kg. Mumong A,Mukim Kuala Belait,Belait,Male,39,National Diploma,54,Very Good,Very Good,89,120,It's frustrating for me to be able to stream videos but not even get decent cell phone reception sometimes.
986,Kg. Subok Kota Batu,Mukim Kota Batu,Brunei-Muara,Male,57,Bachelor Degree,109,Very Good,Excellent,89,250,I'm not willing to pay for internet when there are cheaper options available elsewhere for the same speed and reliability.
987,Kg. Kapok,Mukim Serasa,Brunei-Muara,Female,63,Diploma,93,Poor,Very Good,44,190,I get really frustrated when I'm trying to stream or upload something large and it just keeps buffering or freezing for hours because it's so slow where I live.
988,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,48,Lower Secondary,58,Very Poor,Good,89,330,It's frustrating when you feel like you're overpaying for internet service every month without getting the speed and features I need.
989,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,39,Bachelor Degree,46,Poor,Very Good,89,220,"I've tried setting up automatic payments before, but it's hard to keep on top of multiple invoices and subscriptions because they always seem to slip through the cracks somehow."
990,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Female,30,Bachelor Degree,58,Fair,Good,89,310,"I've gotten tired of constant price hikes and customer service that doesn't care about my loyalty, so I just stick to free stuff where I can find it."
991,Perumahan Negara Lumut Kawasan 1,Mukim Liang,Belait,Female,34,O Level,29,Good,Good,44,170,"I've really been cutting back on streaming and online gaming because the cost of services has gotten out of control, it's just not worth it anymore for me financially."
992,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Female,52,Bachelor Degree,22,Excellent,Fair,89,250,I try to cut back on streaming and browsing because it's just getting really expensive this month.
993,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,21,Higher National Diploma,30,Very Good,Fair,26,110,I'd rather use public library Wi-Fi than pay for internet just to squeeze by in this economic situation.
994,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,35,Lower Secondary,174,Very Good,Good,89,110,I only use public Wi-Fi when it's absolutely necessary and can afford to overspend on their plan just once every few months.
995,Kg. Berangan,Mukim Kianggeh,Brunei-Muara,Male,18,Bachelor Degree,55,Very Good,Good,89,200,I often just can't get any decent calls or video chats to work on my phone at home because the signal is so weak.
996,Kg. Panchor Murai,Mukim Pangkalan Batu,Brunei-Muara,Male,34,O Level,174,Good,Good,89,240,It's really frustrating when you know a service is usually good online but I live too far from major hubs so my reception just never seems consistent enough for anything that requires a decent connection.
997,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Male,16,Bachelor Degree,131,Excellent,Fair,26,140,"I rarely get work done on the go because poor mobile call quality is so frustrating, it's hard to actually have a conversation with clients over the line."
998,Kg. Pangkalan Batu,Mukim Pangkalan Batu,Brunei-Muara,Female,35,Bachelor Degree,52,Good,Good,89,130,I try to keep my phone on airplane mode when I'm not close to home because it's so unreliable outside.
999,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,52,Diploma,132,Very Good,Good,89,270,I never bother signing up for websites or apps anymore because I just know they're always trying to phish me and steal my info if something goes wrong with their app.
1000,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,23,National Diploma,59,Very Poor,Good,89,120,I often end up canceling plans with friends at the last minute because no reliable internet can be found around here.
1001,STKRJ Mata-Mata Kawasan 2,Mukim Gadong B,Brunei-Muara,Female,40,National Certificate,92,Very Good,Good,88,170,"It's super frustrating to try and stream video shows on my lunch breaks, but my slow internet keeps buffering every 5 minutes because I just can't handle even one bigger download anymore."
1002,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,58,Master Degree,48,Good,Very Good,4,120,"It's frustrating because I need fast internet for my work-from-home job and I'm consistently told that speeds improve by mid-month, but they never do here."
1003,Kg. Tanjong Bunut,Mukim Kilanas,Brunei-Muara,Female,50,Bachelor Degree,213,Very Good,Very Good,88,260,It's just not worth it to go through all that hassle every time I need to do something with my main computer.
1004,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Male,25,A Level,73,Fair,Fair,88,140,I try to limit my browsing to just what I need because my low monthly data plan dies as soon as I hit the 10 GB limit every month.
1005,Kg. Tanjong Bunut,Mukim Kilanas,Brunei-Muara,Male,42,Bachelor Degree,155,Very Good,Good,88,220,I usually stick to free public wifi spots when I need internet because one-time registration and installation costs just aren't feasible for me financially.
1006,Kg. Subok Kota Batu,Mukim Kota Batu,Brunei-Muara,Female,30,Lower Secondary,61,Fair,Good,88,310,I've been balking at signing up all these streaming services because their one-time registration fees are really adding up to be way more expensive than I anticipated.
1007,Kg. Manggis,Mukim Berakas B,Brunei-Muara,Male,31,O Level,546,Good,Good,88,180,"I've been looking for reliable options to file taxes and browse streaming services, but so far nothing's been very helpful."
1008,Kg. Panaga,Mukim Seria,Belait,Female,46,Bachelor Degree,51,Very Good,Very Good,88,300,I rarely stream movies on Netflix because the monthly fees are just too expensive for our family budget.
1009,Perumahan Negara Mentiri Kawasan A,Mukim Mentiri,Brunei-Muara,Female,15,Master Degree,171,Very Good,Fair,44,240,I try to stay offline as much as possible because paying for decent internet here feels like stealing from myself.
1010,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,13,Master Degree,212,Very Good,Good,88,210,"It's frustrating when streaming services buffer or lag, and I wish there were better options for reliable coverage out here."
1011,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,57,O Level,48,Fair,Excellent,88,200,It's tough to stream that new series I've been hearing about all the time because of how expensive my current data plan is every month.
1012,Kg. Lugu,Mukim Sengkurong,Brunei-Muara,Female,26,Lower Secondary,255,Good,Very Good,26,130,It's hard for me to afford paying that much every month when having just basic internet access feels like it's breaking the bank right now.
1013,Perumahan Negara Rimba Kawasan 3,Mukim Gadong A,Brunei-Muara,Female,29,A Level,519,Very Good,Very Good,88,210,I just can't splurge on all that upfront cost every time I get a new router – it's hard when you're not getting any guarantees of consistent speeds or reliable connectivity.
1014,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,38,Primary School,916,Good,Very Good,25,290,I only check my email once a month because it's hard to keep all the different antivirus software up to date and I don't want to risk getting hacked again.
1015,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Female,41,O Level,57,Very Good,Good,44,120,It's really frustrating when you can't get reliable internet where most everything is - I ended up shopping around online to find an alternative plan that covers my rural home.
1016,Kg. Lugu,Mukim Sengkurong,Brunei-Muara,Male,41,O Level,700,Fair,Fair,25,70,It's really frustrating when you can't even stream your favorite show because it keeps buffering everywhere I live.
1017,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,19,Bachelor Degree,55,Fair,Good,88,200,I'm not willing to upgrade my internet plan because it doesn't seem like my current speed is making a significant enough difference for me.
1018,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Male,52,PhD,567,Good,Good,88,220,We get one day of decent WiFi every week when we're traveling to visit relatives who still work those old wired landlines at their homes.
1019,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,24,National Certificate,852,Very Good,Fair,25,120,It's frustrating when you feel like paying extra is needed just to get decent internet speeds around here.
1020,Kg. Sungai Taring,Mukim Liang,Belait,Female,41,National Certificate,209,Good,Good,88,250,It's really frustrating when you try to stream something but can't even get 1 hour without going over your limit and getting charged again.
1021,Kg. Telanai,Mukim Kilanas,Brunei-Muara,Female,52,O Level,58,Fair,Good,25,120,It's frustrating when I try to stream Netflix and it drops to practically zero just as something interesting starts playing.
1022,Kg. Anggerek Desa,Mukim Berakas A,Brunei-Muara,Male,34,Lower Secondary,849,Good,Good,25,70,I'd cut back on streaming services in a heartbeat if I didn't feel like I was getting such poor picture quality for the price.
1023,Kg. Parit Pangkalan Batu,Mukim Pangkalan Batu,Brunei-Muara,Male,40,O Level,140,Good,Good,88,240,It's really frustrating when we need to stream videos or browse multiple tabs at once because our data doesn't seem to be going far enough.
1024,Kg. Tagap,Mukim Sengkurong,Brunei-Muara,Female,49,Bachelor Degree,111,Poor,Very Good,88,300,It's really frustrating for me when you're trying to get setup online but they want payment right off the bat – I just can't afford that kind of expense upfront.
1025,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,31,O Level,101,Poor,Very Good,87,270,I really struggle with staying connected while on-the-go because it's hard when my phone drops all the time on the biggest day of the year.
1026,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,21,Diploma,109,Excellent,Good,87,280,I usually just use public libraries or friends' places when I need to be online because that's all I can afford at home.
1027,Kg. Sinaut,Mukim Keriam,Tutong,Male,19,Higher National Diploma,54,Good,Fair,87,270,"I wish I could afford cheaper internet plans, but all the budget-friendly options seem to have limited data limits these days."
1028,Kg. Maraburong,Mukim Keriam,Tutong,Female,57,National Diploma,10,Good,Very Poor,44,120,I've been cutting back on internet time just to keep our family phone plan within budget.
1029,Kg. Panaga,Mukim Seria,Belait,Female,51,Bachelor Degree,43,Good,Very Good,87,320,It really slows me down when I'm trying to work from home because nobody else seems to be doing any streaming around here either.
1030,Kg. Panaga,Mukim Seria,Belait,Male,56,Higher National Diploma,763,Fair,Very Good,44,120,I use just one app at a time to try and squeeze out every last bit of data before running low.
1031,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,27,National Diploma,28,Fair,Poor,87,220,"I have to turn off all non-essential apps at night just to avoid going over my data limit, it's so frustrating sometimes"
1032,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,48,O Level,55,Good,Poor,87,170,I wish I could spend more money on internet plans when my current one's just not covering all my needs from home.
1033,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Female,46,Lower Secondary,22,Fair,Very Poor,87,130,"To be honest, it's kinda weird when they don't have Wi-Fi at our house, so I just do everything online from family member's phone or public library."
1034,Perumahan Negara Lambak Kanan Kawasan 5,Mukim Berakas B,Brunei-Muara,Female,38,Higher National Diploma,859,Good,Good,87,220,I avoid traveling abroad for extended periods because poor mobile network coverage and quality of calls can make it super hard to get any work done on the go.
1035,Kg. Penapar,Mukim Tanjong Maya,Tutong,Male,37,National Diploma,84,Good,Fair,87,260,It's really frustrating when you can't watch your favorite shows or stream movies on more recent seasons because you just don't have enough data left.
1036,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Male,52,National Diploma,54,Good,Very Good,25,80,"I've struggled to find reliable internet deals that fit my budget, so it's hard to justify the cost when there are cheaper options available elsewhere."
1037,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,46,O Level,45,Good,Very Good,43,120,It's hard when my family and me all try to stream movies at the same time because I get cut off mid-episode so often due to slow speeds and limited data.
1038,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Male,48,National Diploma,57,Very Good,Good,87,220,It's really frustrating when I'm trying to make an important call and can't get a signal strong enough because of these awful patches in this area.
1039,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,47,Higher National Diploma,1086,Fair,Excellent,43,260,"Honestly, it's hard when nobody at home knows how to set up their computers, so it's like starting from square one every time someone needs to do something online."
1040,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Female,20,A Level,25,Very Good,Very Good,25,120,It's really frustrating when you know you need reliable internet but can't get it at your home address because of the service just being too far away from here.
1041,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Male,53,Bachelor Degree,64,Very Poor,Fair,25,210,I never feel like splurging on internet because it's just too pricey for my budget every month.
1042,Perumahan Negara Mentiri Kawasan A,Mukim Mentiri,Brunei-Muara,Male,43,O Level,623,Good,Good,87,170,I've found myself using public Wi-Fi more often than I'd like at home because it's basically the only option when I'm near a friend or family member.
1043,Perumahan Negara Lumut Kawasan 1,Mukim Liang,Belait,Female,53,Master Degree,53,Poor,Poor,25,50,I hate calling my internet provider to sort out my bill because their automated system is so hard to navigate and always ends up leaving me stuck in a loop.
1044,Pekan Seria Kawasan 1,Mukim Seria,Belait,Male,36,Bachelor Degree,202,Excellent,Fair,25,120,"I use my phone for data more often than at home, where you can really get caught on slow 4G if your neighbors are streaming Netflix or something nearby."
1045,Kg. Petani,Mukim Pekan Tutong,Tutong,Female,34,Bachelor Degree,55,Poor,Very Good,87,270,I rarely get new apps or subscriptions on my phone because one-time fees just add up too quickly.
1046,Kg. Serasa,Mukim Serasa,Brunei-Muara,Female,34,Master Degree,56,Fair,Good,25,260,It's frustrating when I run out of data before the month is over because my plan just doesn't feel like it's keeping up with how much I stream videos and browse online.
1047,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Female,49,A Level,60,Excellent,Very Good,43,130,I've had to take breaks from streaming my favorite shows because buying all those devices was just too expensive every 12 months.
1048,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,30,Higher National Diploma,24,Very Good,Good,87,180,I hardly log in to my bank sites because I'm terrified of being hacked next time around.
1049,Kg. Sungai Besar,Mukim Kota Batu,Brunei-Muara,Male,51,Bachelor Degree,58,Fair,Fair,87,540,I hardly use my phone's internet connection at all due to all the scammers and hackers targeting it every day.
1050,Pekan Seria Kawasan 1,Mukim Seria,Belait,Male,13,National Diploma,46,Fair,Very Good,25,120,I cancel my phone plan every 6-8 months because it's just too expensive when you compare it to what I'm getting from streaming services and public Wi-Fi.
1051,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,29,Bachelor Degree,157,Very Good,Very Good,87,120,It's hard for me to get work done online when there just isn't a strong enough signal where I live to keep my internet connection stable.
1052,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Male,42,Master Degree,197,Good,Good,87,280,I have to rely on satellite internet when we travel because our regular service just can't get this far out in the country.
1053,Kg. Sungai Liang,Mukim Liang,Belait,Male,61,Higher National Diploma,157,Fair,Very Good,43,120,"I'm not really able to afford the faster data speeds I need for remote work, so I end up with slow internet most days."
1054,Perumahan Negara Mentiri Kawasan A,Mukim Mentiri,Brunei-Muara,Male,43,Bachelor Degree,56,Good,Excellent,4,130,It's really frustrating when you want to stream your favorite show but can't afford to upgrade because they're still trying us down to that super small data plan!
1055,STKRJ Mata-Mata Kawasan 2,Mukim Gadong B,Brunei-Muara,Male,37,Bachelor Degree,59,Good,Excellent,86,370,It's pretty frustrating when there's no reliable internet signal in my neighborhood and all I get are dropped calls and lost connections whenever I try to stream anything online.
1056,Perumahan Negara Rimba Kawasan 3,Mukim Gadong A,Brunei-Muara,Female,19,Bachelor Degree,46,Good,Fair,86,290,It's really hard for me to navigate and use all the new internet platforms and tools when I don't know anyone who uses them.
1057,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,49,Bachelor Degree,177,Good,Good,86,460,It's frustrating when I get buffering videos and lagging pages because there's just no decent Wi-Fi out here.
1058,Kg. Panaga,Mukim Seria,Belait,Female,28,Bachelor Degree,58,Poor,Good,43,120,It's really not worth worrying about when grandma and friends are online anyway.
1059,Kg. Kulapis,Mukim Sengkurong,Brunei-Muara,Female,27,Lower Secondary,55,Excellent,Good,86,110,"I have to turn off my streaming apps at night when the connection gets slow, so I end up being super inflexible with my schedule."
1060,Kg. Sengkarai,Mukim Pekan Tutong,Tutong,Male,56,Bachelor Degree,60,Poor,Good,86,170,It's really frustrating when I try to download that new movie but end up maxing out our limited data plan anyway.
1061,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Male,58,Diploma,31,Good,Good,86,560,I mostly avoid checking my email for new work opportunities because I get anxious thinking about all the scams and data breaches out there that might steal my info or hook me to malware.
1062,Kg. Tagap,Mukim Sengkurong,Brunei-Muara,Female,34,Higher National Diploma,300,Good,Good,43,120,I rarely stay in touch with friends and family overseas because it's hard when you live abroad to get reliable service at home.
1063,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,24,O Level,84,Fair,Good,86,200,I'm really short on time because most of my searches don't lead to anything relevant.
1064,Kg. Kulapis,Mukim Sengkurong,Brunei-Muara,Female,37,Higher National Diploma,52,Very Good,Very Good,86,130,"To be honest, I've come across websites that require me to create an account just to read a blog post - too much hassle!"
1065,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,44,Lower Secondary,56,Good,Very Good,86,230,It's super frustrating for me to watch my phone die halfway through the month because I'm stuck with this super limited data plan subscription.
1066,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Male,37,Bachelor Degree,293,Fair,Fair,43,90,It's hard to justify spending over $100 a month on internet when there are plenty of free public Wi-Fi spots downtown that get the job done just fine.
1067,STKRJ Mata-Mata Kawasan 2,Mukim Gadong B,Brunei-Muara,Male,50,Bachelor Degree,159,Good,Good,86,270,I often end up canceling plans with friends just because our internet connection keeps dropping at that last minute.
1068,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,62,National Certificate,24,Good,Good,86,160,I never use certain websites or services just because it's going to cost me an extra one-time fee for registration or installation.
1069,Kg. Panaga,Mukim Seria,Belait,Male,27,Diploma,779,Very Good,Fair,86,280,I don't use public libraries' free Wi-Fi for work/school stuff because it's just too sketchy sometimes.
1070,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Male,44,O Level,59,Very Good,Very Good,86,260," honestly, it's really frustrating when you're trying to stream a movie just before bedtime but it keeps dropping every few minutes."
1071,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,17,Higher National Diploma,49,Good,Excellent,86,260,It's really hard for me to justify spending that much money on internet when every other bill goes down first.
1072,Kg. Bengkurong,Mukim Kilanas,Brunei-Muara,Male,23,O Level,207,Good,Very Good,86,300,I pretty much just use my phone for browsing since I'm terrified of getting hacked on my main computer from viruses or phishers.
1073,Kg. Bengkurong,Mukim Kilanas,Brunei-Muara,Male,53,Bachelor Degree,102,Very Good,Good,85,160,I'm hesitant to sign up for new services because one-time fees are just too expensive and it feels like they're just trying to make money off me upfront.
1074,Kg. Katok,Mukim Gadong A,Brunei-Muara,Male,46,National Diploma,969,Good,Good,43,120,I'm super cautious when browsing online because I had a nightmare experience with fake emails last year that almost scammed me out of my savings.
1075,Kg. Panaga,Mukim Seria,Belait,Male,22,Master Degree,58,Fair,Very Good,85,270,It's hard to find reliable work opportunities when you can't even get fast enough internet connections at home.
1076,Kg. Pandan C,Mukim Kuala Belait,Belait,Male,18,Higher National Diploma,55,Very Good,Very Good,85,270,I have to turn down video calls more often than not because this low-internet plan just isn't cutting it with all these high-def friends on the other side of the world.
1077,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,28,Bachelor Degree,309,Good,Very Good,43,40,I rarely visit public Wi-Fi networks because I'm never quite sure if my information is being intercepted or hacked by some malicious program.
1078,Kg. Jerudong,Mukim Sengkurong,Brunei-Muara,Female,32,National Diploma,715,Good,Good,43,220,I hate streaming shows on Sundays because nothing else seems to come through with decent enough connection to cut through the buffering.
1079,Kg. Serasa,Mukim Serasa,Brunei-Muara,Female,27,Higher National Diploma,13,Very Good,Good,43,90,It's really frustrating when I need to stream something and my plan just runs out of data in time.
1080,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,24,Bachelor Degree,225,Fair,Excellent,85,230,I don't stay home as much because work is so focused on online communication that my family and I have to use our relatives' internet when we do stay at their place.
